Symbol,Exchange,Date,Time,CurrentVolume,LastPrice,NBB,NBO,ImbSide,ImbalanceSize, Notional Imbalance ,ImbalanceSource,ImbalanceType,ExchangeDate,ExchangeTime,MatchedSize,CurrentReferencePrice,NearIndicativePrice,FarIndicativePrice,Matched to Unmatched,Close,% move from Snashot to Close
BRK.B,UNEX,20200529,55:00.3,4791580,185.07,185.05,185.1,B,531703," $ 98,402,274.21 ",NYSE,I,20200529,55:00.6,2236829,185.06,188.82,189.78,0.2377039103,185.58,0.28%
BRK.B,UNEX,20191220,49:59.7,4609653,226.27,226.23,226.28,B,948539," $ 214,625,919.53 ",NYSE,C,20191220,50:00.0,2653335,226.27,0,0,0.3574893483,226.31,0.02%
BRK.B,UNEX,20191220,55:00.8,4727722,226.65,226.64,226.67,B,497432," $ 112,742,962.80 ",NYSE,I,20191220,55:01.1,3442164,226.65,228.04,0,0.1445114178,226.31,-0.15%
BRK.B,UNEX,20191126,49:59.7,1919351,218.75,218.73,218.75,B,388462," $ 84,976,062.50 ",NYSE,C,20191126,50:00.0,510946,218.75,0,0,0.7602799513,218.9,0.07%
BRK.B,UNEX,20191126,54:59.7,2041824,218.89,218.88,218.9,B,383617," $ 83,969,925.13 ",NYSE,I,20191126,55:00.1,515046,218.88,228.74,0,0.744820851,218.9,0.00%
BRK.B,UNEX,20190920,55:00.3,4421062,208.21,208.19,208.21,B,11246," $ 2,341,529.66 ",NYSE,I,20190920,55:00.2,3767879,208.26,208.3,0,0.002984703065,208.12,-0.04%
TSM,UNEX,20200529,49:59.7,8246713,50.465,50.46,50.47,B,58198," $ 2,936,962.07 ",NYSE,C,20200529,50:00.0,412785,50.47,0,0,0.1409886503,50.33,-0.27%
TSM,UNEX,20190920,49:59.6,4879913,43.98,43.98,43.99,B,62214," $ 2,736,171.72 ",NYSE,C,20190920,50:00.0,562561,43.98,0,0,0.1105906737,43.87,-0.25%
JNJ,UNEX,20200626,55:00.3,5897702,137.7,137.65,137.71,B,348930," $ 48,047,661.00 ",NYSE,I,20200626,55:00.3,4464766,137.55,138.64,0,0.0781519121,137.81,0.08%
JNJ,UNEX,20200619,49:59.9,6250368,144.22,144.2,144.23,B,158950," $ 22,923,769.00 ",NYSE,C,20200619,50:00.0,3194240,144.21,0,0,0.0497614456,143.83,-0.27%
JNJ,UNEX,20200529,49:59.7,3802435,148.38,148.38,148.41,B,520831," $ 77,280,903.78 ",NYSE,C,20200529,50:00.0,1167294,148.38,0,0,0.4461866505,148.75,0.25%
JNJ,UNEX,20191220,49:59.7,7352805,146.51,146.47,146.5,B,176239," $ 25,820,775.89 ",NYSE,C,20191220,50:00.0,3276449,146.51,0,0,0.05378963628,146.06,-0.31%
JNJ,UNEX,20191220,55:00.3,7483929,146.19,146.18,146.19,B,274034," $ 40,061,030.46 ",NYSE,I,20191220,55:00.6,3587871,146.19,147.98,147.56,0.07637788538,146.06,-0.09%
JNJ,UNEX,20190920,49:59.6,7188430,131.72,131.7,131.72,B,1359363," $ 179,055,294.36 ",NYSE,C,20190920,50:00.0,1193991,131.72,0,0,1.138503557,131.65,-0.05%
JNJ,UNEX,20190920,55:01.8,7478095,131.87,131.88,131.89,B,745721," $ 98,338,228.27 ",NYSE,I,20190920,55:00.7,2022473,131.88,135.89,0,0.3687174069,131.65,-0.17%
JNJ,UNEX,20190827,55:01.6,16431270,129.8493,129.8,129.87,B,205892," $ 26,734,932.08 ",NYSE,I,20190827,55:00.6,1037914,129.86,132,0,0.1983709633,129.64,-0.16%
V,UNEX,20200619,54:59.9,6345787,192.87,192.86,192.89,B,71055," $ 13,704,377.85 ",NYSE,I,20200619,55:00.2,3501313,192.87,193.38,0,0.02029381549,192.2,-0.35%
V,UNEX,20191220,49:59.7,5786196,187.82,187.82,187.83,B,616598," $ 115,809,436.36 ",NYSE,C,20191220,50:00.0,3119221,187.82,0,0,0.19767692,188,0.10%
V,UNEX,20191220,55:00.3,5925425,187.995,188,188.02,B,338122," $ 63,565,245.39 ",NYSE,I,20191220,55:00.6,3629263,188.005,190.63,193.43,0.09316547189,188,0.00%
V,UNEX,20190920,49:59.6,7287531,174.38,174.38,174.39,B,1349316," $ 235,293,724.08 ",NYSE,C,20190920,50:00.0,681624,174.39,0,0,1.979560579,174.06,-0.18%
V,UNEX,20190920,55:00.8,7645988,174.75,174.7,174.75,B,929600," $ 162,447,600.00 ",NYSE,I,20190920,55:00.3,1356874,174.73,193.55,0,0.6851041438,174.06,-0.39%
V,UNEX,20190827,49:59.9,2797192,178.45,178.42,178.45,B,242725," $ 43,314,276.25 ",NYSE,C,20190827,50:00.0,273790,178.41,0,0,0.886537127,178.38,-0.04%
V,UNEX,20190827,55:00.6,2890654,178.01,178.05,178.1,B,221210," $ 39,377,592.10 ",NYSE,I,20190827,55:00.2,404084,178.08,182.2,183.37,0.5474356817,178.38,0.21%
WMT,UNEX,20200619,49:59.9,8227825,119.83,119.84,119.87,B,1355453," $ 162,423,932.99 ",NYSE,C,20200619,50:00.0,1405006,119.83,0,0,0.9647311115,119.85,0.02%
WMT,UNEX,20200619,54:59.9,8734622,120.0297,120,120.03,B,702765," $ 84,352,672.12 ",NYSE,I,20200619,55:00.1,2278071,120.02,120.71,124.06,0.308491263,119.85,-0.15%
WMT,UNEX,20200529,49:59.7,5600701,123.09,123.09,123.1,B,313857," $ 38,632,658.13 ",NYSE,C,20200529,50:00.0,977922,123.09,0,0,0.3209427746,124.06,0.79%
WMT,UNEX,20200529,55:00.3,5926206,123.94,123.92,123.95,B,315046," $ 39,046,801.24 ",NYSE,I,20200529,55:00.6,1146714,123.92,128,0,0.2747380777,124.06,0.10%
WMT,UNEX,20191220,49:59.7,4644756,120.47,120.46,120.47,B,150078," $ 18,079,896.66 ",NYSE,C,20191220,50:00.0,1115793,120.47,0,0,0.1345034428,120.29,-0.15%
WMT,UNEX,20191220,54:59.8,4787811,120.47,120.46,120.47,B,59065," $ 7,115,560.55 ",NYSE,I,20191220,55:00.1,1423397,120.465,120.9,121.28,0.04149580194,120.29,-0.15%
WMT,UNEX,20190920,55:00.3,5082477,116.93,116.92,116.93,B,164710," $ 19,259,540.30 ",NYSE,I,20190920,55:00.2,3373544,116.94,117.17,0,0.04882402601,116.98,0.04%
WMT,UNEX,20190827,49:59.9,4365912,112.62,112.61,112.63,B,50410," $ 5,677,174.20 ",NYSE,C,20190827,50:00.0,551162,112.62,0,0,0.09146131264,112.42,-0.18%
WMT,UNEX,20190827,55:00.1,4476596,112.54,112.56,112.56,B,9542," $ 1,073,856.68 ",NYSE,I,20190827,55:00.1,698225,112.52,112.75,113.59,0.01366608185,112.42,-0.11%
PG,UNEX,20200529,55:00.3,3831704,115.89,115.87,115.9,B,11049," $ 1,280,468.61 ",NYSE,I,20200529,55:00.6,2163839,115.89,115.97,0,0.005106202449,115.92,0.03%
PG,UNEX,20190920,55:01.8,7354852,122.385,122.36,122.39,B,64206," $ 7,857,851.31 ",NYSE,I,20190920,55:00.7,1819045,122.39,122.5,0,0.03529654297,122.24,-0.12%
MA,UNEX,20200619,49:59.9,2838541,301.47,301.42,301.53,B,98729," $ 29,763,831.63 ",NYSE,C,20200619,50:00.0,431037,301.44,0,0,0.2290499423,296.5,-1.65%
